from,to,comm_from,comm_to
45000,77785,1,1
29669,142016,1,1
115295,102864,1,1
87621,134630,1,1
156769,86083,1,1
160494,12737,1,1
42227,148113,1,1
20111,164704,1,1
45954,63855,1,1
56315,93947,1,1
16340,5475,1,1
70686,141957,1,1
18161,46649,1,1
173453,46450,1,1
123146,121663,1,1
38128,69992,1,1
32438,58670,1,1
152414,153700,1,1
49505,89021,1,1
53983,48641,1,1
125737,93947,1,1
34607,139585,1,1
25755,102864,1,1
164704,151950,1,1
169642,98957,1,1
72544,105352,1,1
93322,51874,1,1
45824,46649,1,1
91530,159037,1,1
104885,161965,1,1
122584,153700,1,1
73021,43056,1,1
26400,102864,1,1
159693,102864,1,1
161792,119905,1,1
121867,139585,1,1
129392,81577,1,1
168646,119658,1,1
161220,43056,1,1
54381,124721,1,1
86815,58730,1,1
103644,155109,1,1
122584,102864,1,1
101586,169814,1,1
111130,100702,1,1
128560,102864,1,1
143866,161552,1,1
40160,6236,1,1
119085,48843,1,1
131501,39959,1,1
46722,104885,1,1
162407,67749,1,1
78781,23398,1,1
129234,102864,1,1
113133,175798,1,1
29725,81600,1,1
51187,12737,1,1
124721,174784,1,1
46620,129126,1,1
131106,125638,1,1
165988,102864,1,1
54499,102864,1,1
130455,97573,1,1
173938,20248,1,1
48228,102864,1,1
82810,26400,1,1
91515,31873,1,1
150146,117848,1,1
117185,102864,1,1
136724,159037,1,1
63099,124003,1,1
105870,44573,1,1
164704,71926,1,1
121860,23500,1,1
164704,102864,1,1
161965,102864,1,1
103840,16217,1,1
143116,48937,1,1
164770,102864,1,1
154960,102864,1,1
91765,36114,1,1
152414,89432,1,1
156064,103012,1,1
164704,150180,1,1
75689,108023,1,1
85265,106952,1,1
26432,26432,1,1
73021,58670,1,1
102864,94425,1,1
75584,134630,1,1
154096,36898,1,1
55467,8640,1,1
38724,90850,1,1
117884,77704,1,1
90987,53983,1,1
164770,59926,1,1
71301,45697,1,1
150991,11222,1,1
175982,36386,1,1
166535,92124,1,1
131510,75451,1,1
38127,102864,1,1
87751,99163,1,1
97331,65404,1,1
101968,48843,1,1
83512,20111,1,1
132263,44428,1,1
134669,84483,1,1
110929,6981,1,1
59498,66181,1,1
129126,171698,1,1
139585,98957,1,1
73021,102864,1,1
166017,89021,1,1
34360,148113,1,1
16340,58670,1,1
16340,167613,1,1
71846,102864,1,1
101968,141299,1,1
161965,152389,1,1
135559,167791,1,1
174784,129126,1,1
105352,154248,1,1
38033,58670,1,1
80314,140529,1,1
158308,129957,1,1
58730,36489,1,1
130145,11222,1,1
126762,87903,1,1
57130,43024,1,1
120195,125748,1,1
2616,9574,1,1
147232,28558,1,1
172405,18953,1,1
26569,158308,1,1
89322,100702,1,1
13969,141461,1,1
80540,71846,1,1
78400,93947,1,1
79557,102864,1,1
34245,93682,1,1
158455,102864,1,1
93682,88236,1,1
138251,8640,1,1
103012,93947,1,1
42888,58670,1,1
99115,174411,1,1
36489,94364,1,1
57130,46649,1,1
56081,168182,1,1
25755,16646,1,1
9082,44428,1,1
86180,36506,1,1
102864,66181,1,1
107539,150180,1,1
119196,102864,1,1
156872,102864,1,1
58670,134586,1,1
49944,159260,1,1
54037,20739,1,1
115597,102864,1,1
74859,99521,1,1
135519,87903,1,1
28707,2619,1,1
95205,42037,1,1
154248,104885,1,1
131895,129392,1,1
49944,156769,1,1
5978,17453,1,1
157020,16217,1,1
173453,124721,1,1
166239,31668,1,1
73021,96001,1,1
155609,130455,1,1
73021,12890,1,1
37272,141461,1,1
13746,86878,1,1
36506,14840,1,1
21243,116479,1,1
93682,38128,1,1
120195,102864,1,1
167455,174427,1,1
71846,158308,1,1
161008,159037,1,1
25755,48613,1,1
159037,102864,1,1
108557,113076,1,1
93947,130867,1,1
89052,38128,1,1
89954,173494,1,1
162407,102864,1,1
135519,102864,1,1
46722,156872,1,1
135519,64289,1,1
115969,67086,1,1
102576,159037,1,1
101145,34835,1,1
157238,29463,1,1
16002,6599,1,1
147905,100702,1,1
73021,12737,1,1
121999,124540,1,1
108873,45000,1,1
21089,161552,1,1
123003,167024,1,1
119196,102864,1,1
81991,33868,1,1
17446,130455,1,1
43798,56081,1,1
78901,1887,1,1
135519,93682,1,1
74118,18963,1,1
128991,93947,1,1
467,102864,1,1
61431,56164,1,1
130455,44428,1,1
5475,71926,1,1
155942,93682,1,1
125720,19158,1,1
50471,164867,1,1
91765,174784,1,1
32310,164704,1,1
95650,102864,1,1
