from,to,comm_from,comm_to
144947,137156,1,1
125720,84483,1,1
156963,172961,2,2
148386,65244,2,2
119357,31873,1,1
65244,128180,2,2
132625,128789,2,2
65244,128180,2,2
65244,128180,2,2
160205,65244,2,2
65244,128180,2,2
38723,151275,2,2
132625,119383,2,2
131261,137522,2,2
131261,28840,2,2
132625,172961,2,2
132625,46649,2,1
132625,65244,2,2
123662,139326,2,2
165940,86544,2,2
165940,91841,2,2
95650,77194,1,1
95650,102864,1,1
95650,102864,1,1
132625,102864,2,1
146879,38128,1,1
44325,145612,2,2
121999,39456,1,1
121999,158237,1,1
146879,102371,1,1
95650,102864,1,1
95650,77194,1,1
95650,102864,1,1
72643,28840,2,2
28417,125207,1,1
74505,168359,1,1
169814,116479,1,1
169814,22372,1,1
169814,93308,1,1
169814,135880,1,1
169814,99823,1,1
143766,65244,2,2
143766,172961,2,2
20111,78605,1,1
91585,51209,2,2
165988,129126,1,1
165988,28840,1,2
42450,172961,2,2
23536,107060,2,2
72544,4221,1,1
87411,39456,1,1
87411,158237,1,1
95650,71946,1,1
95650,34260,1,1
95650,103012,1,1
95650,39832,1,1
119357,167192,1,1
119357,19158,1,1
72544,39456,1,1
72544,158237,1,1
30092,170646,2,2
105008,121257,1,1
75766,120206,2,2
119357,48843,1,1
74505,112721,1,1
119357,121663,1,1
74505,166017,1,1
95650,31250,1,1
95650,102864,1,1
142228,93947,1,1
75766,116901,2,2
132625,42450,2,2
165988,129126,1,1
74505,4221,1,1
13358,38128,1,1
111990,4221,1,1
66936,153129,1,1
132625,155307,2,2
46620,4221,1,1
111990,4346,1,1
172961,139326,2,2
165988,31668,1,1
165988,124540,1,1
165988,20248,1,1
78049,153896,1,2
132625,24432,2,2
46756,4221,1,1
95650,46649,1,1
132625,47405,2,2
132625,158763,2,2
132625,112123,2,1
48613,38128,1,1
72544,19158,1,1
132625,25114,2,2
132625,172152,2,2
46756,62221,1,1
25239,107060,2,2
75766,70559,2,2
112721,112721,1,1
126903,38128,1,1
160205,158763,2,2
160205,112123,2,1
384,170646,2,2
171438,112721,1,1
132625,149869,2,2
86878,23398,1,1
11397,81604,1,1
72544,167791,1,1
46182,46182,1,1
